Project Name,Country,Start Date,Capacity (kt H2/y),Length (km),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated)
 GET H2 TransHyDE hydrogen project - Lingen,DEU,,0.25,,0.051292105,Production,2023,Unknown,10
" Liquid Wind, Flagship 3rd plant",SWE,,220.8638602,,38.2654,Production,2026,Others/Various,1.989387001
" Liquid Wind, FlagshipTWO",SWE,,287.1230183,,49.74502,Production,2027,Others/Various,1.986199493
 Hydrogen and Innovative Energy Park in Marghera,ITA,,8,,1.386026667,Production,2026,Unknown,6.999627173
1 x 500 kW projects in USA,USA,,0.5,,0.074965385,Production,2000,,1.999987973
1.6GW Wind power grid-load-storage to green methanol project,CHN,,331.2957904,,57.3981,Production,,Onshore wind,1.984074488
12 x 120 kW projects in USA,USA,,1.44,,0.215900308,Production,2000,,1.999942753
18x180 kW projects in USA,USA,,3.24,,0.485775692,Production,2000,,1.999856161
3 x 1250 kW projects in USA,USA,,3.75,,0.562240385,Production,2000,,1.999831627
3H2 - Helsinki Hydrogen Hub,FIN,,4,,0.599723077,Production,2026,,1.9998196
4 projects of ITM in Australia,AUS,,1,,0.149930769,Production,2018,,1.99996392
700 MW Wind Power + Hydrogen + Green Methanol Integration Project,CHN,,198.7774742,,34.43886,Production,,Onshore wind,1.990449503
Aalborg MeOH project,DNK,,350,,60.63866667,Production,2028,Others/Various,1.98317469
Abanto Technology Park,ESP,,2.5,,0.423717391,Production,2023,Unknown,6.99989176
ABC Cleantech H2,IND,,1275,,220.898,Production,2027,Unknown,6.938676015
ABEL Energy Bell Bay Powerfuels Project - phase 1,AUS,,260,,44.0666087,Production,2027,Onshore wind,1.987504291
Aberdeen Conference Center,GBR,,1,,0.169486957,Production,2018,,1.99996392
"Aberdeen Hydrogen Hub, phase I",GBR,,1.63,,0.282402933,Production,2026,Solar PV,1.999933613
"Aberdeen Hydrogen Hub, phase II",GBR,,5.37,,0.9303704,Production,2030,,1.999753694
"Aberdeen Kittybrewster, Hydrogen bus project",GBR,,1,,0.169486957,Production,2015,,1.99996392
Aboriginal Ammonia project - East Kimberley Clean Energy project,AUS,,259.8391981,,45.0180072,Production,2028,Others/Various,1.987512027
Abu Qir Fertilizers Green Ammonia Project,EGY,,910.4765502,,157.7430972,Production,,,1.956212027
Achema - green hydrogen plant,LTU,,171,,29.62632,Production,2027,,1.991785785
Acme - Port of Victoria,USA,,2188.119563,,379.099008,Production,2027,,1.894748869
ACME Odisha Plant,IND,,1500,,259.88,Production,2028,Solar PV,1.927852013
ACME SCZONE Green Ammonia Plant,EGY,,25396.33677,,4400,Production,,Others/Various,0.778278693
ACME Tamil Nadu plant - Chidambaranar port,IND,,1500,,259.88,Production,2030,Solar PV,1.927852013
Actis - Fortescue,OMN,,2308.757888,,400,Production,2030,Others/Various,1.88894536
Actis project,EGY,,415.742717,,72.02881152,Production,,Unknown,6.980012027
ACWA Power - Garuda Hidrogen Hijau (GH2),IDN,,173.1568416,,30,Production,2027,Unknown,6.991682027
ACWA Power - Green H2 - Phase 1,UZB,,20,,3.38973913,Production,2024,Onshore wind,1.999049893
ACWA Power - Green H2 - Phase 2,UZB,,1299.195991,,225.090036,Production,,Onshore wind,1.937512027
ACWA Power - Green Hydrogen Project,EGY,,623.6140755,,108.0432173,Production,,Others/Various,1.970012027
ACWA Power - Large scale H2 project,IDN,,5000,,866.2666667,Production,,,1.759478649
"ACWA-Tunisia MoU green hydrogen project, phase 1",TUN,,2000,,346.5066667,Production,2030,Unknown,6.903798676
"ACWA-Tunisia MoU green hydrogen project, phases 2-3",TUN,,4000,,693.0133333,Production,,Unknown,6.807585324
Adani H2,IND,,11543.78944,,2000,Production,2030,Unknown,6.444678693
Adelaida project,CHL,,3,,0.51976,Production,2024,Solar PV,1.999867707
Advanced Clean Energy Storage (ACES) ,USA,,220,,37.28713043,Production,2025,,1.989428558
Advancing Sustainable Aviation via PtL and Direct Air Capture (ASAP-DAC)  project,BGR,,3.121067801,,0.5407354,Production,2025,,1.999861882
AEM Nexus 1000 - Saerbeck,DEU,,1,,0.173253333,Production,2023,,4.99996392
AEM Nexus 500 for SAF and supply of internal hydrogen lines,DEU,,0.5,,0.086626667,Production,2025,Unknown,9.999987973
AEM Nexus for Fuel Cell factory FAT process,GBR,,1,,0.173253333,Production,2024,Unknown,6.99996392
AEM Nexus for H2 Fuel station,ITA,,4,,0.693013333,Production,2026,Unknown,6.9998196
AEM Nexus for H2 Refueling Station,ITA,,3,,0.51976,Production,2026,Unknown,6.999867707
AEM Nexus for Metal Hardening Process,ITA,,1,,0.173253333,Production,2026,Unknown,6.99996392
AEM Nexus for Unigranit,CZE,,0.5,,0.086626667,Production,2024,Onshore wind,1.999987973
Aeropila,ESP,,0.0026,,0.00038982,Production,2004,,1.999988098
AES Andes Power to Ammonia project,CHL,,412.2781943,,71.42857143,Production,2025,Others/Various,1.980178693
AES Brazil - Port of Pecem,BRA,,1662.970868,,288.1152461,Production,,Unknown,6.920012027
Agios Efstratios,GRC,,0.1,,0.017325333,Production,2012,,1.999992784
Ain Sokhna ammonia project - Phase I,EGY,,500,,86.62666667,Production,2027,,1.975958689
Ain Sokhna ammonia project - Phase II,EGY,,500,,86.62666667,Production,,,1.975958689
"Ain Sokhna plant, Suez Canal Economic Zone (SCZone), phase 1",EGY,,288.594736,,50,Production,2026,Others/Various,1.986128693
"Ain Sokhna plant, Suez Canal Economic Zone (SCZone), phase 2",EGY,,432.892104,,75,Production,,Others/Various,1.979187027
Air Liquide Becancour,CAN,,20,,2.998615385,Production,2020,Hydropower,1.999049893
Air Liquide Dunkirk,FRA,,400,,69.30133333,Production,2027,Unknown,6.980769356
Air Products Arizona,USA,,40,,6.779478261,Production,2024,,1.99808776
AIRA H2,ESP,,10,,1.732533333,Production,,Unknown,6.99953096
Aittaluoto power (Pori),FIN,,69.26273665,,12,Production,2027,,1.996680027
Aker - Berlevag,NOR,,100,,17.32533333,Production,,Unknown,6.995201359
"Aker - Rjukan, phase 1",NOR,,20,,3.465066667,Production,2025,Unknown,6.999049893
"Aker - Rjukan, phase 2",NOR,,20,,3.465066667,Production,2025,Unknown,6.999049893
Alcázar de San Juan - pHYnix,ESP,,10,,1.499307692,Production,2024,Unknown,6.99953096
