Project Name,Country,Capacity (kt H2/y),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated),Country_Name,Continent,Region
Oskarshamn nuclear plant,SWE,0.7,0.11864087,Production,1992.0,Unknown,1.999978352,Sweden,Europe,Northern Europe
TPJ Jesenice,SVN,0.35,0.060638667,Production,2000.0,Unknown,1.999995189,Slovenia,Europe,South East Europe
Grimstad Renewable Energy Park,NOR,0.05,0.008474348,Production,2000.0,Unknown,1.999990379,Norway,Europe,Northern Europe
Thermal Power Plant Sostanj,SVN,0.1,0.017325333,Production,2000.0,Unknown,1.999992784,Slovenia,Europe,South East Europe
PVFCSYS Sophia Antipolis,FRA,0.0036,0.000610153,Production,2000.0,Unknown,1.999988147,France,Europe,Western Europe
FIRST - Showcase II,ESP,0.001,0.000149931,Production,2000.0,Unknown,1.999988021,Spain,Europe,South West Europe
ECTOS,ISL,0.276,0.0467784,Production,2003.0,Unknown,1.999998749,Iceland,Europe,Northern Europe
"CUTE, Stockholm",SWE,0.3,0.050846087,Production,2003.0,Unknown,1.999997595,Sweden,Europe,Northern Europe
Laboratory System at IFE Kjeller Phase 1,NOR,0.00364,0.000545748,Production,2003.0,Unknown,1.999988148,Norway,Europe,Northern Europe
"Porto, CUTE",PRT,0.3,0.050846087,Production,2003.0,Unknown,1.999997595,Portugal,Europe,South West Europe
"HyFLEET:CUTE, Amesterdam",NLD,0.3,0.050846087,Production,2003.0,Unknown,1.999997595,Netherlands,Europe,Western Europe
"HyFLEET:CUTE, Hamburg",DEU,0.276,0.0467784,Production,2003.0,Unknown,4.999998749,Germany,Europe,Western Europe
"HARI project, West Beacon Farm",GBR,0.034,0.005762557,Production,2004.0,Unknown,1.999989609,United Kingdom,Europe,Western Europe
PVFCSYS Agrate,ITA,0.0034,0.000576256,Production,2004.0,Unknown,1.999988137,Italy,Europe,Southern Europe
Aeropila,ESP,0.0026,0.00038982,Production,2004.0,Unknown,1.999988098,Spain,Europe,South West Europe
Utsira Island,NOR,0.048,0.008135374,Production,2004.0,Unknown,1.999990282,Norway,Europe,Northern Europe
"PURE Project, Unst",GBR,0.015,0.002542304,Production,2005.0,Unknown,1.999988695,United Kingdom,Europe,Western Europe
GenHyPEM (R&D),DEU,0.03276,0.004911732,Production,2005.0,Unknown,4.999989549,Germany,Europe,Western Europe
"CUTE and HyFLEET:CUTE, Barcelona",ESP,0.3,0.050846087,Production,2006.0,Unknown,1.999997595,Spain,Europe,South West Europe
Hydrogen village Burgenland,AUT,0.0104,0.00155928,Production,2006.0,Unknown,1.999988474,Austria,Europe,Central Europe
"Vestenskov/ Nakskov Industrial and Environmental Park, Lolland",DNK,0.0832,0.01247424,Production,2007.0,Unknown,1.999991976,Denmark,Europe,Northern Europe
"H2 from the sun, Brunate",ITA,0.007,0.001186409,Production,2007.0,Unknown,1.99998831,Italy,Europe,Southern Europe
RES2H2 Gran Canaria,ESP,0.055,0.009321783,Production,2007.0,Unknown,1.999990619,Spain,Europe,South West Europe
Baglan Energy Park Wales,GBR,0.046,0.0077964,Production,2008.0,Unknown,1.999990186,United Kingdom,Europe,Western Europe
"Stand-alone power system, Neo Olvio of Xanthi",GRC,0.00364,0.000545748,Production,2008.0,Unknown,1.999988148,Greece,Europe,South East Europe
"Hidrolica, Tahivilla",ESP,0.041,0.006147162,Production,2008.0,Unknown,1.999989946,Spain,Europe,South West Europe
IHAVU,ESP,0.000225,3.9e-05,Production,2008.0,Unknown,1.999987984,Spain,Europe,South West Europe
Hydrogen Wind Farm Sotavento,ESP,0.3,0.050846087,Production,2008.0,Onshore wind,1.999997595,Spain,Europe,South West Europe
Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP),DEU,0.006,0.001016922,Production,2009.0,Unknown,4.999988262,Germany,Europe,Western Europe
Neo Olvio of Xanthi,GRC,0.004,0.000599723,Production,2009.0,Unknown,1.999988166,Greece,Europe,South East Europe
"ETOGAS, Solar Fuel Alpha-plant 250 kW, ZSW",DEU,0.25,0.042371739,Production,2009.0,Unknown,5.0,Germany,Europe,Western Europe
AltHytude,FRA,0.08,0.013558957,Production,2009.0,Unknown,1.999991822,France,Europe,Western Europe
The Hydrogen office,GBR,0.02438,0.004132092,Production,2010.0,Unknown,1.999989146,United Kingdom,Europe,Western Europe
Narva power plant ELY,EST,0.144297368,0.025,Production,2010.0,Unknown,6.999994915,Estonia,Europe,Eastern Europe
H2KT - Hydrogen Energy Storage in Nuuk,DNK,0.0874,0.01481316,Production,2010.0,Unknown,1.999992178,Denmark,Europe,Northern Europe
Primolyzer (R&D),DNK,0.0052,0.00077964,Production,2010.0,Unknown,1.999988223,Denmark,Europe,Northern Europe
H2SusBuild / RES-H2,GRC,0.0184,0.00311856,Production,2010.0,Unknown,1.999988858,Greece,Europe,South East Europe
ITHER,ESP,0.065,0.011016652,Production,2010.0,Unknown,1.9999911,Spain,Europe,South West Europe
H2SusBuild,GRC,0.22,0.038115733,Production,2010.0,Unknown,1.999998557,Greece,Europe,South East Europe
"EnBW H2 station, Stuttgart",DEU,0.3,0.050846087,Production,2011.0,Unknown,4.999997595,Germany,Europe,Western Europe
RABH2,GBR,0.005,0.000847435,Production,2011.0,Unknown,1.999988214,United Kingdom,Europe,Western Europe
"Hybrid Power Plant Enertrag, Prenzlau",DEU,0.5,0.084743478,Production,2011.0,Unknown,4.999987973,Germany,Europe,Western Europe
"Hamburg Hafen City, CEP",DEU,0.6,0.101692174,Production,2011.0,Unknown,4.999983163,Germany,Europe,Western Europe
DNV Kema/DNV GL,NLD,0.01,0.001499308,Production,2011.0,Unknown,1.999988454,Netherlands,Europe,Western Europe
Green Natural Gas,DNK,0.04,0.008206737,Production,2011.0,Unknown,1.999989898,Denmark,Europe,Northern Europe
RESelyser (R&D),DEU,0.001,0.000169487,Production,2011.0,Unknown,4.999988021,Germany,Europe,Western Europe
SEE / Storage of electric energy,DEU,0.006,0.001016922,Production,2011.0,Unknown,4.999988262,Germany,Europe,Western Europe
Foulum Demonstration plant,DNK,0.25,0.037482692,Production,2011.0,Unknown,2.0,Denmark,Europe,Northern Europe
ELYGRID (R&D),ESP,2.6,0.440666087,Production,2011.0,Unknown,1.999886949,Spain,Europe,South West Europe
Cotbus,DEU,0.12,0.020338435,Production,2012.0,Unknown,4.999993746,Germany,Europe,Western Europe
MYRTE,FRA,0.11,0.016492385,Production,2012.0,Unknown,1.999993265,France,Europe,Western Europe
Eucolino Schwandorf,DEU,0.108,0.01871136,Production,2012.0,Unknown,4.999993169,Germany,Europe,Western Europe
H2Herten,DEU,0.165,0.027965348,Production,2012.0,Unknown,4.999995911,Germany,Europe,Western Europe
"PostBus Hydrogen bus, Brugg, aargau CHIC",CHE,0.276,0.0467784,Production,2012.0,Unknown,1.999998749,Switzerland,Europe,Central Europe
