Project1,Project2,Score,Technology1,Country1,Capacity1,Investment1,Date1,Technology2,Country2,Capacity2,Investment2,Date2
H2 research center BTU Cottbus,Rozenburg Power2Gas Phase 1,0.6999734,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,NLD,0.007,0.001049515,2013.0
H2 research center BTU Cottbus,Narva power plant ELY,0.6999991405264,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,EST,0.144297368,0.025,2010.0
H2 research center BTU Cottbus,Hunfeld project ,0.499028,Unknown,DEU,0.14,0.023728174,2012.0,Onshore wind,DEU,5.0,0.866266667,2025.0
H2 research center BTU Cottbus,Hydrogen Lab Gorlitz,0.9996280000000001,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,DEU,2.0,0.346506667,2023.0
H2 research center BTU Cottbus,Lhyfe-Enerparc Luckau project,0.499028,Unknown,DEU,0.14,0.023728174,2012.0,Solar PV,DEU,5.0,0.847434783,2024.0
H2 research center BTU Cottbus,Linde Hellas - Mandra,0.699828,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,GRC,1.0,0.173253333,2022.0
H2 research center BTU Cottbus,"Porto, CUTE",0.699968,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,PRT,0.3,0.050846087,2003.0
H2 research center BTU Cottbus,Methanation at Eichhof,0.999982,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,DEU,0.05,0.007496538,2018.0
H2 research center BTU Cottbus,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.9987680000000001,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,DEU,6.3,1.067767826,2013.0
H2 research center BTU Cottbus,RENOVAGAS,0.69997384,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,ESP,0.0092,0.00155928,2014.0
H2 research center BTU Cottbus,Refhyne,0.998028,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,DEU,10.0,1.499307692,2021.0
H2 research center BTU Cottbus,Hynamics Martres-Tolosane,0.699628,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,FRA,2.0,0.338973913,2025.0
H2 research center BTU Cottbus,SALCOS - WindH2 Windwasserstoff Salzgitter,0.49952799999999997,Unknown,DEU,0.14,0.023728174,2012.0,Onshore wind,DEU,2.5,0.374826923,2021.0
H2 research center BTU Cottbus,Utilitas ELY,0.1999855188548,Unknown,DEU,0.14,0.023728174,2012.0,Solar PV,EST,0.212405726,0.036,2025.0
H2 research center BTU Cottbus,RIC Energy Valladolid -phase 1,0.199028,Unknown,DEU,0.14,0.023728174,2012.0,Solar PV,ESP,5.0,0.749653846,2024.0
H2 research center BTU Cottbus,Stromlückenfüller 2nd phase,0.9999880000000001,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,DEU,0.2,0.029986154,2019.0
H2 research center BTU Cottbus,P2G-Biocat - Continued (Ref 508),0.699928,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,DNK,0.5,0.084743478,2015.0
H2 research center BTU Cottbus,Energi Hub Kjerlingland,0.699028,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,NOR,5.0,0.866266667,2025.0
H2 research center BTU Cottbus,"Oslo, CHIC",0.699908,Unknown,DEU,0.14,0.023728174,2012.0,Unknown,NOR,0.6,0.101692174,2013.0
